Column1,Transaction_ID,User_ID,Merchant_ID,Merchant_Category,Payment_Mode,Transaction_Amount,Transaction_Status,Timestamp,Interchange_Fee_INR
37,TXN2026100036,USR1122,MER12,Electronics & Gadgets,Bank UPI (Direct),"?3,087.61",Success,8/9/2026 15:44,?0.00
38,TXN2026100037,USR2773,MER48,Groceries & Supermarkets,PPI Wallet UPI,"?7,256.61",Success,8/12/2026 17:31,?79.82
39,TXN2026100038,USR4593,MER40,Electronics & Gadgets,Bank UPI (Direct),"?5,146.77",Success,9/11/2026 5:28,?0.00
40,TXN2026100039,USR1876,MER40,Electronics & Gadgets,PPI Wallet UPI,"?13,243.39",Success,8/2/2026 8:09,?145.68
41,TXN2026100040,USR2801,MER49,Electronics & Gadgets,PPI Wallet UPI,"?3,431.13",Success,9/13/2026 3:50,?37.74
42,TXN2026100041,USR1671,MER23,Food & Dining,Bank UPI (Direct),"?11,636.63",Success,9/2/2026 14:49,?0.00
43,TXN2026100042,USR2132,MER45,Groceries & Supermarkets,PPI Wallet UPI,"?6,599.05",Success,8/2/2026 11:03,?72.59
44,TXN2026100043,USR3080,MER10,Groceries & Supermarkets,Credit Card on UPI,"?4,167.64",Success,9/1/2026 10:10,?0.00
45,TXN2026100044,USR2781,MER42,Groceries & Supermarkets,PPI Wallet UPI,"?5,881.36",Failed,9/6/2026 8:25,?0.00
46,TXN2026100045,USR4706,MER49,Electronics & Gadgets,PPI Wallet UPI,"?5,262.07",Success,8/6/2026 15:35,?57.88
47,TXN2026100046,USR2273,MER29,Food & Dining,Bank UPI (Direct),"?10,737.73",Success,8/13/2026 16:03,?0.00
48,TXN2026100047,USR1711,MER21,Travel & Hospitality,Bank UPI (Direct),"?4,205.89",Success,8/29/2026 0:19,?0.00
49,TXN2026100048,USR4393,MER12,Food & Dining,Bank UPI (Direct),"?1,335.59",Success,8/3/2026 11:27,?0.00
50,TXN2026100049,USR2541,MER45,Groceries & Supermarkets,PPI Wallet UPI,"?12,323.10",Success,8/1/2026 23:51,?135.55
51,TXN2026100050,USR2746,MER36,Groceries & Supermarkets,PPI Wallet UPI,"?14,936.18",Success,9/6/2026 17:40,?164.30
52,TXN2026100051,USR1798,MER28,Travel & Hospitality,Bank UPI (Direct),"?12,982.58",Pending,8/30/2026 5:07,?0.00
53,TXN2026100052,USR4661,MER25,Food & Dining,Bank UPI (Direct),?368.22,Success,8/27/2026 18:00,?0.00
54,TXN2026100053,USR4422,MER38,Travel & Hospitality,PPI Wallet UPI,"?4,526.28",Success,8/3/2026 17:14,?49.79
55,TXN2026100054,USR3995,MER21,Groceries & Supermarkets,PPI Wallet UPI,"?12,641.56",Success,9/15/2026 14:49,?139.06
56,TXN2026100055,USR1880,MER14,Travel & Hospitality,Credit Card on UPI,"?4,839.47",Success,9/9/2026 9:10,?0.00
57,TXN2026100056,USR2854,MER27,Groceries & Supermarkets,PPI Wallet UPI,"?7,002.92",Failed,8/26/2026 17:44,?0.00
58,TXN2026100057,USR2769,MER17,Electronics & Gadgets,Bank UPI (Direct),"?8,232.92",Success,9/12/2026 6:07,?0.00
59,TXN2026100058,USR4818,MER32,Groceries & Supermarkets,Bank UPI (Direct),"?11,015.80",Success,9/10/2026 23:25,?0.00
60,TXN2026100059,USR3083,MER26,Electronics & Gadgets,PPI Wallet UPI,?989.81,Success,8/25/2026 16:55,?0.00
61,TXN2026100060,USR2947,MER33,Groceries & Supermarkets,Credit Card on UPI,"?11,615.23",Success,9/1/2026 11:46,?0.00
62,TXN2026100061,USR3565,MER17,Travel & Hospitality,PPI Wallet UPI,"?4,714.93",Success,8/15/2026 15:32,?51.86
63,TXN2026100062,USR3619,MER21,Travel & Hospitality,Bank UPI (Direct),"?12,013.94",Success,8/24/2026 20:01,?0.00
64,TXN2026100063,USR4856,MER34,Groceries & Supermarkets,Bank UPI (Direct),"?9,876.04",Success,8/23/2026 5:21,?0.00
65,TXN2026100064,USR4202,MER24,Food & Dining,Bank UPI (Direct),"?7,039.65",Success,9/7/2026 22:48,?0.00
66,TXN2026100065,USR4250,MER42,Travel & Hospitality,PPI Wallet UPI,"?10,082.04",Success,9/8/2026 13:27,?110.90
67,TXN2026100066,USR1533,MER48,Groceries & Supermarkets,PPI Wallet UPI,"?6,235.78",Success,8/3/2026 10:47,?68.59
68,TXN2026100067,USR2824,MER38,Electronics & Gadgets,Bank UPI (Direct),"?6,040.42",Success,8/19/2026 5:01,?0.00
69,TXN2026100068,USR3571,MER37,Groceries & Supermarkets,PPI Wallet UPI,"?2,916.75",Success,8/22/2026 19:23,?32.08
70,TXN2026100069,USR3375,MER25,Electronics & Gadgets,Bank UPI (Direct),"?9,908.68",Success,9/5/2026 9:29,?0.00
71,TXN2026100070,USR3491,MER28,Electronics & Gadgets,Credit Card on UPI,"?7,660.50",Success,8/28/2026 0:37,?0.00
72,TXN2026100071,USR4254,MER20,Food & Dining,Bank UPI (Direct),"?7,697.85",Success,8/22/2026 4:10,?0.00
73,TXN2026100072,USR3609,MER46,Electronics & Gadgets,PPI Wallet UPI,"?13,641.64",Success,9/3/2026 20:20,?150.06
74,TXN2026100073,USR4106,MER34,Electronics & Gadgets,Bank UPI (Direct),"?12,956.25",Success,9/2/2026 8:30,?0.00
75,TXN2026100074,USR2447,MER21,Groceries & Supermarkets,Bank UPI (Direct),"?14,107.97",Success,8/8/2026 16:07,?0.00
76,TXN2026100075,USR4917,MER21,Groceries & Supermarkets,Bank UPI (Direct),"?4,046.35",Success,9/2/2026 13:47,?0.00
77,TXN2026100076,USR4381,MER20,Travel & Hospitality,PPI Wallet UPI,"?10,124.45",Success,8/29/2026 23:43,?111.37
78,TXN2026100077,USR1429,MER50,Electronics & Gadgets,Credit Card on UPI,"?2,982.97",Success,8/22/2026 5:08,?0.00
79,TXN2026100078,USR3794,MER32,Groceries & Supermarkets,Bank UPI (Direct),"?7,027.25",Failed,8/10/2026 7:00,?0.00
80,TXN2026100079,USR4426,MER43,Groceries & Supermarkets,PPI Wallet UPI,"?7,720.99",Success,8/16/2026 8:06,?84.93
81,TXN2026100080,USR4570,MER26,Groceries & Supermarkets,Credit Card on UPI,"?4,525.47",Success,9/1/2026 13:21,?0.00
82,TXN2026100081,USR3435,MER36,Groceries & Supermarkets,Bank UPI (Direct),"?7,976.09",Success,9/12/2026 16:35,?0.00
83,TXN2026100082,USR3920,MER34,Groceries & Supermarkets,PPI Wallet UPI,?57.29,Success,9/2/2026 21:12,?0.00
84,TXN2026100083,USR3437,MER43,Travel & Hospitality,Bank UPI (Direct),"?1,683.01",Success,8/13/2026 9:05,?0.00
85,TXN2026100084,USR3202,MER32,Groceries & Supermarkets,Bank UPI (Direct),"?12,965.35",Success,8/13/2026 0:59,?0.00
86,TXN2026100085,USR2873,MER20,Electronics & Gadgets,Bank UPI (Direct),"?5,748.45",Success,9/15/2026 22:02,?0.00
87,TXN2026100086,USR1491,MER23,Travel & Hospitality,PPI Wallet UPI,"?4,371.00",Success,9/13/2026 19:50,?48.08
88,TXN2026100087,USR1917,MER41,Groceries & Supermarkets,PPI Wallet UPI,"?1,013.59",Success,9/15/2026 21:25,?0.00
89,TXN2026100088,USR1659,MER15,Groceries & Supermarkets,Bank UPI (Direct),?645.32,Success,9/8/2026 18:57,?0.00
90,TXN2026100089,USR4720,MER15,Travel & Hospitality,Bank UPI (Direct),"?10,425.63",Success,8/14/2026 12:16,?0.00
91,TXN2026100090,USR1711,MER16,Electronics & Gadgets,Bank UPI (Direct),"?13,965.62",Success,8/20/2026 17:40,?0.00
92,TXN2026100091,USR4022,MER26,Groceries & Supermarkets,PPI Wallet UPI,"?12,964.74",Pending,8/17/2026 14:36,?0.00
93,TXN2026100092,USR4817,MER22,Groceries & Supermarkets,Bank UPI (Direct),"?3,733.98",Success,8/31/2026 11:29,?0.00
94,TXN2026100093,USR2346,MER27,Groceries & Supermarkets,Bank UPI (Direct),"?4,752.50",Success,8/5/2026 10:34,?0.00
95,TXN2026100094,USR2483,MER10,Groceries & Supermarkets,Bank UPI (Direct),"?12,988.45",Success,8/5/2026 4:54,?0.00
96,TXN2026100095,USR3007,MER38,Electronics & Gadgets,Bank UPI (Direct),"?13,530.97",Success,8/21/2026 17:23,?0.00
97,TXN2026100096,USR1134,MER40,Groceries & Supermarkets,Bank UPI (Direct),"?13,613.91",Success,8/23/2026 18:01,?0.00
98,TXN2026100097,USR2087,MER23,Groceries & Supermarkets,Bank UPI (Direct),"?3,023.53",Success,8/22/2026 2:12,?0.00
99,TXN2026100098,USR3383,MER34,Groceries & Supermarkets,PPI Wallet UPI,"?2,972.53",Success,8/10/2026 14:22,?32.70
100,TXN2026100099,USR2808,MER30,Groceries & Supermarkets,Bank UPI (Direct),"?4,877.69",Success,8/26/2026 20:13,?0.00
101,TXN2026100100,USR4378,MER17,Groceries & Supermarkets,Bank UPI (Direct),"?12,291.77",Success,8/18/2026 15:04,?0.00
102,TXN2026100101,USR1331,MER25,Groceries & Supermarkets,Bank UPI (Direct),"?2,122.96",Success,8/3/2026 8:17,?0.00
103,TXN2026100102,USR4720,MER49,Food & Dining,Credit Card on UPI,"?14,470.73",Success,8/23/2026 1:29,?0.00
104,TXN2026100103,USR2276,MER28,Groceries & Supermarkets,Credit Card on UPI,"?12,716.39",Failed,8/10/2026 4:59,?0.00
105,TXN2026100104,USR3329,MER40,Groceries & Supermarkets,Bank UPI (Direct),"?14,980.16",Success,8/5/2026 12:44,?0.00
106,TXN2026100105,USR4435,MER35,Groceries & Supermarkets,Bank UPI (Direct),"?10,516.48",Success,8/14/2026 22:29,?0.00
107,TXN2026100106,USR3586,MER32,Groceries & Supermarkets,PPI Wallet UPI,"?7,442.18",Success,9/9/2026 1:20,?81.86
108,TXN2026100107,USR4847,MER24,Travel & Hospitality,Credit Card on UPI,?193.49,Pending,8/18/2026 8:51,?0.00
109,TXN2026100108,USR2852,MER44,Travel & Hospitality,PPI Wallet UPI,"?2,907.99",Success,8/13/2026 0:33,?31.99
110,TXN2026100109,USR2204,MER21,Groceries & Supermarkets,PPI Wallet UPI,"?5,559.03",Success,8/9/2026 10:53,?61.15
111,TXN2026100110,USR3159,MER38,Groceries & Supermarkets,Bank UPI (Direct),"?7,421.65",Success,8/14/2026 6:05,?0.00
112,TXN2026100111,USR2613,MER29,Groceries & Supermarkets,Bank UPI (Direct),"?5,202.28",Success,8/17/2026 21:57,?0.00
113,TXN2026100112,USR4879,MER48,Electronics & Gadgets,Credit Card on UPI,"?11,588.68",Success,9/11/2026 1:37,?0.00
114,TXN2026100113,USR4352,MER35,Groceries & Supermarkets,Bank UPI (Direct),"?8,787.70",Success,8/29/2026 8:52,?0.00
115,TXN2026100114,USR2495,MER18,Groceries & Supermarkets,Bank UPI (Direct),"?4,402.83",Success,8/23/2026 23:27,?0.00
116,TXN2026100115,USR1186,MER50,Groceries & Supermarkets,Bank UPI (Direct),"?5,086.52",Success,8/19/2026 21:45,?0.00
117,TXN2026100116,USR1463,MER45,Groceries & Supermarkets,Bank UPI (Direct),"?9,031.65",Success,8/24/2026 20:00,?0.00
118,TXN2026100117,USR1847,MER35,Electronics & Gadgets,Bank UPI (Direct),?925.56,Pending,8/23/2026 21:15,?0.00
119,TXN2026100118,USR2241,MER41,Groceries & Supermarkets,PPI Wallet UPI,"?11,135.71",Success,9/14/2026 19:12,?122.49
120,TXN2026100119,USR3070,MER21,Groceries & Supermarkets,Bank UPI (Direct),?195.86,Success,9/11/2026 8:39,?0.00
121,TXN2026100120,USR2298,MER16,Groceries & Supermarkets,PPI Wallet UPI,"?8,220.53",Success,8/23/2026 6:57,?90.43
122,TXN2026100121,USR2407,MER21,Travel & Hospitality,Bank UPI (Direct),?847.81,Success,9/6/2026 10:32,?0.00
123,TXN2026100122,USR4523,MER14,Groceries & Supermarkets,PPI Wallet UPI,"?3,257.64",Success,8/21/2026 18:02,?35.83
124,TXN2026100123,USR4857,MER16,Groceries & Supermarkets,Credit Card on UPI,"?4,187.44",Success,8/18/2026 5:05,?0.00
125,TXN2026100124,USR3835,MER24,Groceries & Supermarkets,Credit Card on UPI,"?11,416.48",Success,9/12/2026 22:50,?0.00
126,TXN2026100125,USR3189,MER24,Groceries & Supermarkets,PPI Wallet UPI,"?2,984.57",Success,8/18/2026 18:12,?32.83
127,TXN2026100126,USR4513,MER42,Groceries & Supermarkets,Bank UPI (Direct),"?9,421.65",Success,8/24/2026 14:26,?0.00
128,TXN2026100127,USR1136,MER41,Groceries & Supermarkets,Bank UPI (Direct),"?1,516.26",Success,8/5/2026 20:14,?0.00
129,TXN2026100128,USR3415,MER38,Food & Dining,PPI Wallet UPI,"?11,742.72",Failed,8/23/2026 14:04,?0.00
130,TXN2026100129,USR1025,MER31,Groceries & Supermarkets,Credit Card on UPI,"?12,616.83",Success,8/10/2026 6:44,?0.00
131,TXN2026100130,USR2581,MER44,Groceries & Supermarkets,PPI Wallet UPI,"?8,996.72",Success,8/21/2026 21:23,?98.96
132,TXN2026100131,USR3650,MER36,Food & Dining,Bank UPI (Direct),"?1,589.29",Pending,9/15/2026 9:34,?0.00
133,TXN2026100132,USR4723,MER33,Electronics & Gadgets,Bank UPI (Direct),"?10,503.28",Success,8/11/2026 13:32,?0.00
134,TXN2026100133,USR1015,MER22,Groceries & Supermarkets,PPI Wallet UPI,"?1,625.95",Success,8/15/2026 6:07,?0.00
135,TXN2026100134,USR4534,MER43,Groceries & Supermarkets,Bank UPI (Direct),"?11,096.16",Success,8/12/2026 9:25,?0.00
136,TXN2026100135,USR2279,MER27,Food & Dining,Bank UPI (Direct),"?12,221.12",Success,9/13/2026 19:21,?0.00
137,TXN2026100136,USR4875,MER33,Travel & Hospitality,PPI Wallet UPI,"?1,861.63",Success,9/12/2026 19:03,?0.00
138,TXN2026100137,USR3656,MER48,Travel & Hospitality,Bank UPI (Direct),"?9,007.62",Success,8/31/2026 23:18,?0.00
139,TXN2026100138,USR1890,MER11,Electronics & Gadgets,Bank UPI (Direct),"?2,522.42",Success,8/10/2026 12:52,?0.00
140,TXN2026100139,USR1449,MER38,Groceries & Supermarkets,PPI Wallet UPI,"?10,675.54",Failed,8/18/2026 21:25,?0.00
141,TXN2026100140,USR1986,MER11,Groceries & Supermarkets,Bank UPI (Direct),"?2,501.11",Pending,9/10/2026 23:24,?0.00
142,TXN2026100141,USR3389,MER45,Groceries & Supermarkets,Credit Card on UPI,"?14,708.01",Success,8/20/2026 3:09,?0.00
143,TXN2026100142,USR3793,MER20,Travel & Hospitality,Bank UPI (Direct),"?2,081.19",Success,8/11/2026 6:52,?0.00
144,TXN2026100143,USR1498,MER21,Groceries & Supermarkets,PPI Wallet UPI,"?14,112.63",Success,9/7/2026 9:15,?155.24
145,TXN2026100144,USR3916,MER34,Groceries & Supermarkets,PPI Wallet UPI,"?12,004.28",Success,8/10/2026 20:39,?132.05
146,TXN2026100145,USR1503,MER19,Food & Dining,PPI Wallet UPI,"?14,936.33",Success,8/21/2026 18:15,?164.30
147,TXN2026100146,USR4181,MER20,Groceries & Supermarkets,Credit Card on UPI,"?5,785.20",Success,8/11/2026 18:26,?0.00
148,TXN2026100147,USR1992,MER50,Electronics & Gadgets,PPI Wallet UPI,"?11,605.13",Success,8/19/2026 1:45,?127.66
149,TXN2026100148,USR4044,MER15,Groceries & Supermarkets,PPI Wallet UPI,"?14,240.40",Success,8/18/2026 10:34,?156.64
150,TXN2026100149,USR1974,MER23,Groceries & Supermarkets,Bank UPI (Direct),"?5,244.24",Success,9/2/2026 17:41,?0.00
151,TXN2026100150,USR4975,MER40,Groceries & Supermarkets,PPI Wallet UPI,"?10,411.42",Success,8/28/2026 15:43,?114.53
152,TXN2026100151,USR3518,MER44,Food & Dining,Bank UPI (Direct),"?7,509.52",Success,8/20/2026 1:02,?0.00
153,TXN2026100152,USR2613,MER20,Groceries & Supermarkets,Bank UPI (Direct),"?6,728.24",Failed,9/4/2026 5:45,?0.00
154,TXN2026100153,USR3004,MER25,Groceries & Supermarkets,Bank UPI (Direct),"?6,635.71",Success,9/13/2026 19:57,?0.00
155,TXN2026100154,USR3909,MER35,Groceries & Supermarkets,PPI Wallet UPI,"?11,207.28",Success,8/14/2026 12:01,?123.28
156,TXN2026100155,USR3794,MER28,Electronics & Gadgets,Credit Card on UPI,"?8,982.41",Success,9/5/2026 23:20,?0.00
157,TXN2026100156,USR4728,MER21,Groceries & Supermarkets,Bank UPI (Direct),"?3,319.13",Success,8/14/2026 1:08,?0.00
158,TXN2026100157,USR1074,MER45,Travel & Hospitality,Bank UPI (Direct),"?4,977.15",Success,8/31/2026 20:22,?0.00
159,TXN2026100158,USR3250,MER15,Electronics & Gadgets,Bank UPI (Direct),"?5,476.96",Success,8/23/2026 19:53,?0.00
160,TXN2026100159,USR4174,MER41,Food & Dining,PPI Wallet UPI,"?11,539.16",Success,8/28/2026 23:59,?126.93
161,TXN2026100160,USR3724,MER25,Travel & Hospitality,Bank UPI (Direct),"?8,172.10",Success,8/2/2026 9:45,?0.00
162,TXN2026100161,USR1512,MER42,Travel & Hospitality,Bank UPI (Direct),"?10,796.33",Success,9/1/2026 18:32,?0.00
163,TXN2026100162,USR2096,MER20,Groceries & Supermarkets,Bank UPI (Direct),"?7,184.01",Success,8/6/2026 14:02,?0.00
164,TXN2026100163,USR3381,MER12,Food & Dining,Bank UPI (Direct),"?11,787.75",Success,8/17/2026 10:39,?0.00
165,TXN2026100164,USR3531,MER50,Electronics & Gadgets,Bank UPI (Direct),"?2,530.49",Success,8/15/2026 14:53,?0.00
166,TXN2026100165,USR3013,MER30,Electronics & Gadgets,Bank UPI (Direct),"?6,637.14",Success,9/4/2026 3:28,?0.00
167,TXN2026100166,USR3631,MER45,Groceries & Supermarkets,PPI Wallet UPI,"?7,342.27",Failed,8/14/2026 9:35,?0.00
168,TXN2026100167,USR3595,MER30,Groceries & Supermarkets,Bank UPI (Direct),"?5,496.45",Success,9/9/2026 21:23,?0.00
169,TXN2026100168,USR1069,MER27,Groceries & Supermarkets,PPI Wallet UPI,"?11,494.82",Success,8/28/2026 21:46,?126.44
170,TXN2026100169,USR2850,MER35,Electronics & Gadgets,PPI Wallet UPI,"?8,111.51",Success,8/10/2026 16:49,?89.23
171,TXN2026100170,USR2394,MER32,Food & Dining,Bank UPI (Direct),"?4,716.09",Failed,8/24/2026 13:06,?0.00
172,TXN2026100171,USR3799,MER38,Groceries & Supermarkets,Credit Card on UPI,"?4,220.40",Success,8/13/2026 1:58,?0.00
173,TXN2026100172,USR4206,MER17,Groceries & Supermarkets,Bank UPI (Direct),?20.04,Success,9/6/2026 15:47,?0.00
174,TXN2026100173,USR2123,MER18,Groceries & Supermarkets,Bank UPI (Direct),"?7,985.80",Success,9/9/2026 10:14,?0.00
175,TXN2026100174,USR2306,MER42,Groceries & Supermarkets,Bank UPI (Direct),"?11,835.22",Success,9/12/2026 20:51,?0.00
176,TXN2026100175,USR4783,MER25,Groceries & Supermarkets,PPI Wallet UPI,"?3,689.36",Success,9/9/2026 15:55,?40.58
177,TXN2026100176,USR3725,MER37,Food & Dining,Bank UPI (Direct),"?5,871.62",Success,8/3/2026 19:59,?0.00
178,TXN2026100177,USR4874,MER43,Food & Dining,Credit Card on UPI,"?10,019.40",Success,8/22/2026 4:07,?0.00
179,TXN2026100178,USR2238,MER30,Electronics & Gadgets,PPI Wallet UPI,?587.46,Success,8/19/2026 12:17,?0.00
180,TXN2026100179,USR1125,MER18,Groceries & Supermarkets,Credit Card on UPI,"?6,157.14",Success,8/7/2026 3:20,?0.00
181,TXN2026100180,USR4022,MER33,Groceries & Supermarkets,PPI Wallet UPI,"?13,516.19",Failed,8/2/2026 22:39,?0.00
182,TXN2026100181,USR2825,MER39,Groceries & Supermarkets,PPI Wallet UPI,"?5,896.77",Success,9/9/2026 0:11,?64.86
183,TXN2026100182,USR2338,MER38,Groceries & Supermarkets,Bank UPI (Direct),"?6,926.25",Success,9/4/2026 8:57,?0.00
184,TXN2026100183,USR4294,MER40,Electronics & Gadgets,PPI Wallet UPI,"?8,997.03",Success,9/1/2026 17:29,?98.97
185,TXN2026100184,USR2327,MER37,Food & Dining,PPI Wallet UPI,"?9,378.66",Success,8/18/2026 16:25,?103.17
186,TXN2026100185,USR3684,MER18,Groceries & Supermarkets,PPI Wallet UPI,"?13,875.30",Pending,8/1/2026 7:22,?0.00
187,TXN2026100186,USR4950,MER29,Travel & Hospitality,Bank UPI (Direct),"?3,006.52",Success,8/25/2026 3:44,?0.00
188,TXN2026100187,USR1176,MER22,Groceries & Supermarkets,PPI Wallet UPI,"?8,413.27",Success,8/3/2026 14:25,?92.55
189,TXN2026100188,USR4201,MER47,Food & Dining,PPI Wallet UPI,"?7,215.11",Success,8/27/2026 8:16,?79.37
190,TXN2026100189,USR3905,MER34,Groceries & Supermarkets,Bank UPI (Direct),"?12,550.51",Success,8/24/2026 9:52,?0.00
191,TXN2026100190,USR3829,MER14,Travel & Hospitality,Bank UPI (Direct),"?11,306.90",Success,8/6/2026 21:00,?0.00
192,TXN2026100191,USR4885,MER31,Groceries & Supermarkets,Credit Card on UPI,"?3,860.47",Success,8/13/2026 0:29,?0.00
193,TXN2026100192,USR1742,MER46,Food & Dining,Bank UPI (Direct),"?6,797.61",Success,9/7/2026 0:57,?0.00
194,TXN2026100193,USR2921,MER10,Groceries & Supermarkets,Bank UPI (Direct),"?14,204.73",Success,9/6/2026 8:49,?0.00
195,TXN2026100194,USR1198,MER28,Electronics & Gadgets,Bank UPI (Direct),"?13,186.54",Success,8/26/2026 20:15,?0.00
196,TXN2026100195,USR2588,MER20,Groceries & Supermarkets,Bank UPI (Direct),"?6,775.15",Success,9/8/2026 4:21,?0.00
197,TXN2026100196,USR2165,MER35,Groceries & Supermarkets,Bank UPI (Direct),"?1,531.43",Success,8/12/2026 16:35,?0.00
198,TXN2026100197,USR2576,MER11,Groceries & Supermarkets,Bank UPI (Direct),?55.45,Success,8/25/2026 6:54,?0.00
199,TXN2026100198,USR1888,MER21,Groceries & Supermarkets,Bank UPI (Direct),"?13,660.85",Success,8/23/2026 10:25,?0.00
200,TXN2026100199,USR4306,MER16,Travel & Hospitality,Bank UPI (Direct),"?10,297.52",Success,8/2/2026 9:57,?0.00
201,TXN2026100200,USR4186,MER37,Travel & Hospitality,PPI Wallet UPI,"?11,120.99",Success,9/8/2026 0:28,?122.33
202,TXN2026100201,USR2767,MER42,Groceries & Supermarkets,Credit Card on UPI,"?8,056.71",Success,8/8/2026 6:24,?0.00
203,TXN2026100202,USR3593,MER32,Electronics & Gadgets,PPI Wallet UPI,"?10,701.29",Success,8/4/2026 4:21,?117.71
204,TXN2026100203,USR2573,MER31,Electronics & Gadgets,Bank UPI (Direct),"?11,639.28",Success,9/10/2026 13:11,?0.00
